time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1774	1.32842	5.19245	0.212754	0.176458	radar	4.78629	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.4046	1.41194	5.16967	0.235565	0.193498	lidar	1.40904	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6428	1.49672	5.13089	0.258851	0.212698	radar	4.54626	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8719	1.53331	5.10761	0.25721	0.198774	lidar	1.39059	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1344	1.58439	5.12456	0.2588	0.188085	radar	1.60749	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4102	1.63332	5.14933	0.257894	0.175186	lidar	1.64463	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6449	1.69283	5.12238	0.265654	0.175602	radar	1.11671	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8768	1.76013	5.10772	0.275366	0.17707	lidar	0.500271	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1286	1.84757	5.12982	0.290076	0.182478	radar	1.2197	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3718	1.88024	5.11702	0.280886	0.161022	lidar	0.706801	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6245	1.93989	5.13373	0.28149	0.150498	radar	0.924272	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8264	2.07457	5.10845	0.321356	0.189343	lidar	3.61946	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0862	2.17626	5.15277	0.334937	0.190415	radar	3.64807	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2897	2.31833	5.13239	0.373744	0.225461	lidar	2.74143	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4778	2.46588	5.07797	0.41835	0.270654	radar	11.117	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7239	2.58171	5.09639	0.434755	0.273534	lidar	0.737899	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9448	2.69646	5.0846	0.453479	0.281104	radar	0.282531	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1708	2.84889	5.09902	0.484609	0.300623	lidar	0.617392	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
